group_id,load_step,displacement_y,force_y
0,0,0,0
0,1,0.01,5255.79
0,2,0.02,7862
0,3,0.03,8312.17
0,4,0.04,8530.3
0,5,0.05,8678.73
0,6,0.06,8799.52
0,7,0.07,8915
0,8,0.08,9024.1
0,9,0.09,9128.83
0,10,0.1,9229.95
0,11,0.11,9327.94
0,12,0.12,9423.18
0,13,0.13,9516
0,14,0.14,9606.67
0,15,0.15,9695.44
0,16,0.16,9782.51
0,17,0.17,9868.05
0,18,0.18,9952.2
0,19,0.19,10035.1
0,20,0.2,10116.9
1,0,0,0
1,1,0.01,5492.26
1,2,0.02,9076.08
1,3,0.03,9949.66
1,4,0.04,10557.5
1,5,0.05,11071.2
1,6,0.06,11546.9
1,7,0.07,11995.2
1,8,0.08,12429.5
1,9,0.09,12854.9
1,10,0.1,13273.6
1,11,0.11,13687
1,12,0.12,14096
1,13,0.13,14501.3
1,14,0.14,14903.2
1,15,0.15,15302.3
1,16,0.16,15698.7
1,17,0.17,16092.6
1,18,0.18,16484.3
1,19,0.19,16873.7
1,20,0.2,17261.2
2,0,0,0
2,1,0.01,4872.28
2,2,0.02,7397.95
2,3,0.03,8090.45
2,4,0.04,8607.51
2,5,0.05,9059.61
2,6,0.06,9485.74
2,7,0.07,9891.38
2,8,0.08,10287
2,9,0.09,10676.1
2,10,0.1,11060.3
2,11,0.11,11440.3
2,12,0.12,11816.9
2,13,0.13,12190.6
2,14,0.14,12561.6
2,15,0.15,12930.2
2,16,0.16,13296.6
2,17,0.17,13661
2,18,0.18,14023.4
2,19,0.19,14384.1
2,20,0.2,14743
3,0,0,0
3,1,0.01,4888.7
3,2,0.02,8360.91
3,3,0.03,9312.74
3,4,0.04,9993.07
3,5,0.05,10554.6
3,6,0.06,11057.8
3,7,0.07,11533.9
3,8,0.08,11988.3
3,9,0.09,12431.2
3,10,0.1,12866.6
3,11,0.11,13296.1
3,12,0.12,13720.9
3,13,0.13,14141.8
3,14,0.14,14559.3
3,15,0.15,14973.8
3,16,0.16,15385.6
3,17,0.17,15794.9
3,18,0.18,16202
3,19,0.19,16606.8
3,20,0.2,17009.7
4,0,0,0
4,1,0.01,4466.48
4,2,0.02,7129.14
4,3,0.03,7830.49
4,4,0.04,8334.11
4,5,0.05,8762.05
4,6,0.06,9159.32
4,7,0.07,9533.82
4,8,0.08,9897.08
4,9,0.09,10253.3
4,10,0.1,10604.2
4,11,0.11,10951
4,12,0.12,11294.2
4,13,0.13,11634.5
4,14,0.14,11972.1
4,15,0.15,12307.4
4,16,0.16,12640.6
4,17,0.17,12971.7
4,18,0.18,13301.1
4,19,0.19,13628.7
4,20,0.2,13954.6
5,0,0,0
5,1,0.01,5058.33
5,2,0.02,7384.99
5,3,0.03,8102.76
5,4,0.04,8627.95
5,5,0.05,9074
5,6,0.06,9489.83
5,7,0.07,9881.54
5,8,0.08,10261.7
5,9,0.09,10634.8
5,10,0.1,11002.6
5,11,0.11,11366.1
5,12,0.12,11726.1
5,13,0.13,12083
5,14,0.14,12437.3
5,15,0.15,12789.1
5,16,0.16,13138.7
5,17,0.17,13486.3
5,18,0.18,13832
5,19,0.19,14175.9
5,20,0.2,14518.1
6,0,0,0
6,1,0.01,5415.19
6,2,0.02,8783.13
6,3,0.03,9338.16
6,4,0.04,9598.58
6,5,0.05,9765.89
6,6,0.06,9904.25
6,7,0.07,10029.4
6,8,0.08,10148.1
6,9,0.09,10261.9
6,10,0.1,10371.8
6,11,0.11,10478.1
6,12,0.12,10581.5
6,13,0.13,10682.1
6,14,0.14,10780.3
6,15,0.15,10876.5
6,16,0.16,10970.7
6,17,0.17,11063.1
6,18,0.18,11154.1
6,19,0.19,11243.6
6,20,0.2,11331.8
7,0,0,0
7,1,0.01,4603.48
7,2,0.02,7403.96
7,3,0.03,7935.55
7,4,0.04,8193.55
7,5,0.05,8340.55
7,6,0.06,8451.8
7,7,0.07,8547.71
7,8,0.08,8638.38
7,9,0.09,8725.31
7,10,0.1,8809.13
7,11,0.11,8890.25
7,12,0.12,8968.97
7,13,0.13,9045.54
7,14,0.14,9120.18
7,15,0.15,9193.06
7,16,0.16,9264.36
7,17,0.17,9334.22
7,18,0.18,9402.77
7,19,0.19,9470.12
7,20,0.2,9536.38
8,0,0,0
8,1,0.01,5153.15
8,2,0.02,9050.56
8,3,0.03,9959.56
8,4,0.04,10525.6
8,5,0.05,10956.6
8,6,0.06,11331.4
8,7,0.07,11671.2
8,8,0.08,11993.5
8,9,0.09,12304.8
8,10,0.1,12608
8,11,0.11,12905
8,12,0.12,13197
8,13,0.13,13484.9
8,14,0.14,13769.4
8,15,0.15,14051
8,16,0.16,14329.8
8,17,0.17,14606.3
8,18,0.18,14880.6
8,19,0.19,15152.8
8,20,0.2,15423.2
9,0,0,0
9,1,0.01,4699.96
9,2,0.02,7687.47
9,3,0.03,8464.66
9,4,0.04,9010.21
9,5,0.05,9463.69
9,6,0.06,9879.3
9,7,0.07,10267.8
9,8,0.08,10642.9
9,9,0.09,11009.8
9,10,0.1,11370.5
9,11,0.11,11726.5
9,12,0.12,12078.6
9,13,0.13,12427.3
